@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute outputs-1 numeric

@data
1,'2020/10/08 03:17:39:362',1,48,2,0
2,'2020/10/08 03:17:39:425',1,48,2,0
3,'2020/10/08 03:17:39:496',1,48,2,0
4,'2020/10/08 03:17:39:534',1,48,2,0
5,'2020/10/08 03:17:39:578',1,48,2,0
6,'2020/10/08 03:17:39:636',1,48,2,0
7,'2020/10/08 03:17:39:691',1,48,2,0
8,'2020/10/08 03:17:39:754',1,48,2,0
9,'2020/10/08 03:17:39:814',1,48,2,0
10,'2020/10/08 03:17:39:870',1,48,2,0
11,'2020/10/08 03:17:39:932',1,48,2,0
12,'2020/10/08 03:17:39:986',1,48,2,0
13,'2020/10/08 03:17:40:037',1,48,2,0
14,'2020/10/08 03:17:40:098',1,48,2,0
15,'2020/10/08 03:17:40:155',1,48,2,0
16,'2020/10/08 03:17:40:209',1,48,2,0
17,'2020/10/08 03:17:40:263',1,48,2,0
18,'2020/10/08 03:17:40:331',1,48,2,0
19,'2020/10/08 03:17:40:389',1,48,2,0
20,'2020/10/08 03:17:40:464',1,48,2,0
21,'2020/10/08 03:17:44:366',2,621,96,0.60095
22,'2020/10/08 03:17:44:440',2,621,96,0.60095
23,'2020/10/08 03:17:44:489',2,621,96,0.60095
24,'2020/10/08 03:17:44:557',2,621,96,0.60095
25,'2020/10/08 03:17:44:605',2,621,96,0.60095
26,'2020/10/08 03:17:44:666',2,621,96,0.60095
27,'2020/10/08 03:17:44:715',2,621,96,0.60095
28,'2020/10/08 03:17:44:776',2,621,96,0.60095
29,'2020/10/08 03:17:44:834',2,621,96,0.60095
30,'2020/10/08 03:17:44:890',2,621,96,0.60095
31,'2020/10/08 03:17:44:951',2,621,96,0.60095
32,'2020/10/08 03:17:45:022',2,621,96,0.60095
33,'2020/10/08 03:17:48:850',3,34,479,0.272073
34,'2020/10/08 03:17:48:911',3,34,479,0.272073
35,'2020/10/08 03:17:48:974',3,34,479,0.272073
36,'2020/10/08 03:17:49:035',3,34,479,0.272073
37,'2020/10/08 03:17:49:095',3,34,479,0.272073
38,'2020/10/08 03:17:49:160',3,34,479,0.272073
39,'2020/10/08 03:17:49:218',3,34,479,0.272073
40,'2020/10/08 03:17:49:281',3,34,479,0.272073
41,'2020/10/08 03:17:49:344',3,34,479,0.272073
42,'2020/10/08 03:17:49:400',3,34,479,0.272073
43,'2020/10/08 03:17:49:467',3,34,479,0.272073
44,'2020/10/08 03:17:49:523',3,34,479,0.272073
45,'2020/10/08 03:17:52:489',4,634,478,0.822911
46,'2020/10/08 03:17:52:555',4,634,478,0.822911
47,'2020/10/08 03:17:52:619',4,634,478,0.822911
48,'2020/10/08 03:17:52:683',4,634,478,0.822911
49,'2020/10/08 03:17:52:742',4,634,478,0.822911
50,'2020/10/08 03:17:52:808',4,634,478,0.822911
51,'2020/10/08 03:17:52:867',4,634,478,0.822911
52,'2020/10/08 03:17:52:932',4,634,478,0.822911
53,'2020/10/08 03:17:52:981',4,634,478,0.822911
54,'2020/10/08 03:17:53:043',4,634,478,0.822911
55,'2020/10/08 03:17:53:094',4,634,478,0.822911
